,Player,Points,Games
0,A.C. Green,718.2222222222222,83.0
1,A.J. Bramlett,8.0,8.0
2,A.J. English,751.0,81.0
3,A.J. Guyton,147.33333333333334,45.0
4,A.J. Hammons,48.0,22.0
5,A.J. Price,184.0,57.0
6,A.J. Wynder,12.0,6.0
7,A.W. Holt,4.0,6.0
8,Aaron Brooks,522.6,82.0
9,Aaron Gordon,660.3333333333334,80.0
10,Aaron Gray,112.27272727272727,61.0
11,Aaron Harrison,9.5,21.0
12,Aaron James,765.8,80.0
13,Aaron McKie,390.3529411764706,83.0
14,Aaron Miles,16.0,19.0
15,Aaron Swinson,24.0,9.0
16,Aaron Williams,230.9,82.0
17,Abdul Jeelani,645.0,77.0
18,Acie Earl,194.66666666666666,74.0
19,Acie Law,117.0,56.0
20,Adam Harrington,20.0,19.0
21,Adam Keefe,345.22222222222223,82.0
22,Adam Morrison,281.8,78.0
23,Adonal Foyle,214.71428571428572,82.0
24,Adonis Jordan,10.5,6.0
25,Adonis Thomas,9.333333333333334,6.0
26,Adreian Payne,124.2,52.0
27,Adrian Branch,208.5,67.0
28,Adrian Caldwell,61.375,51.0
29,Adrian Dantley*,1382.842105263158,81.0
30,Adrian Griffin,180.36363636363637,74.0
31,Adrian Smith,745.0,82.0
32,Al Attles,575.2727272727273,79.0
33,Al Bianchi,555.0,80.0
34,Al Butler,518.1666666666666,76.0
35,Al Carlson,72.0,28.0
36,Al Cervi*,397.75,56.0
37,Al Eberhard,372.5,81.0
38,Al Ferrari,420.8333333333333,79.0
39,Al Fleming,40.0,20.0
40,Al Guokas,142.66666666666666,57.0
41,Al Hairston,45.5,39.0
42,Al Harrington,799.55,82.0
43,Al Henry,97.0,43.0
44,Al Horford,924.0,82.0
45,Al Jackson,0.0,2.0
46,Al Jefferson,1083.923076923077,82.0
47,Al Masino,140.0,72.0
48,Al Miksis,27.0,8.0
49,Al Roges,315.5,67.0
50,Al Skinner,346.375,79.0
51,Al Thornton,606.875,79.0
52,Al Tucker,459.125,84.0
53,Al Wood,669.5,81.0
54,Al-Farouq Aminu,538.0,82.0
55,Alaa Abdelnaby,255.44444444444446,75.0
56,Alan Anderson,302.625,78.0
57,Alan Hardy,96.5,38.0
58,Alan Henderson,424.5,82.0
59,Alan Ogg,37.6,43.0
60,Alan Sawyer,217.0,33.0
61,Alan Williams,187.5,47.0
62,Alando Tucker,52.4,30.0
63,Albert King,718.8888888888889,79.0
64,Alec Burks,505.6666666666667,78.0
65,Alec Kessler,271.0,78.0
66,Aleksandar Djordjevic,25.0,8.0
67,Aleksandar Radojevic,13.0,12.0
68,Alex Abrines,406.0,68.0
69,Alex Acker,38.25,25.0
70,Alex Blackwell,34.0,27.0
71,Alex Bradley,137.0,39.0
72,Alex English*,1584.1764705882354,82.0
73,Alex Garcia,23.5,8.0
74,Alex Groza,1462.5,66.0
75,Alex Hannum*,384.75,72.0
76,Alex Kirk,4.0,5.0
77,Alex Len,458.5,78.0
78,Alex Poythress,64.0,6.0
79,Alex Scales,0.0,1.0
80,Alex Stepheson,14.666666666666666,8.0
81,Alex Stivrins,14.166666666666666,19.0
82,Alexander Johnson,219.5,59.0
83,Alexander Volkov,509.5,77.0
84,Alexey Shved,297.1666666666667,77.0
85,Alexis Ajinca,188.44444444444446,68.0
86,Alfred McGuire*,189.25,64.0
87,Alfredrick Hughes,356.0,68.0
88,Allan Bristow,569.1111111111111,82.0
89,Allan Houston,1212.5833333333333,82.0
90,Allan Ray,290.0,47.0
91,Allen Crabbe,469.5,81.0
92,Allen Iverson*,1372.85,82.0
93,Allen Leavell,668.4,82.0
94,Allen Murphy,5.0,2.0
95,Allie McGuire,4.0,2.0
96,Alonzo Bradley,146.66666666666666,43.0
97,Alonzo Gee,255.84615384615384,82.0
98,Alonzo Mourning*,858.4117647058823,79.0
99,Alphonso Ford,17.5,6.0
100,Alton Ford,62.0,53.0
101,Alton Lister,357.8333333333333,82.0
102,Alvan Adams,1070.0,82.0
103,Alvin Heggs,8.0,4.0
104,Alvin Jones,26.0,23.0
105,Alvin Robertson,958.3333333333334,82.0
106,Alvin Scott,386.0,82.0
107,Alvin Sims,11.0,4.0
108,Alvin Williams,407.72727272727275,82.0
109,Amal McCaskill,51.0,59.0
110,Amar'e Stoudemire,1042.125,82.0
111,Amir Johnson,463.25,82.0
112,Anderson Varejao,313.26666666666665,81.0
113,Andrae Patterson,60.0,35.0
114,Andray Blatche,634.0,82.0
115,Andre Barrett,53.0,38.0
116,Andre Brown,65.66666666666667,38.0
117,Andre Dawkins,3.0,4.0
118,Andre Drummond,1024.0,82.0
119,Andre Emmett,10.0,8.0
120,Andre Iguodala,975.6153846153846,82.0
121,Andre McCarter,130.66666666666666,59.0
122,Andre Miller,725.4,82.0
